Date,Open,High,Low,Close,Volume,Adj Close
2017-01-03,115.800003,118.160004,114.760002,117.910004,33656900,117.910004
2016-12-01,110.370003,118.019997,108.25,115.82,30201100,115.82
2016-11-01,113.459999,113.769997,104.080002,110.519997,35912600,110.519997
2016-10-03,112.709999,118.690002,112.279999,113.540001,33968200,112.960037
2016-09-01,106.139999,116.18,102.529999,113.050003,47828300,112.472542
2016-08-01,104.410004,110.230003,104.00,106.099998,28686500,105.558037
2016-07-01,95.489998,104.550003,94.370003,104.209999,35675600,103.11908
2016-06-01,99.019997,101.889999,91.50,95.599998,37040500,94.599213
2016-05-02,93.970001,100.730003,89.470001,99.860001,44886900,98.814621
2016-04-01,108.779999,112.389999,92.510002,93.739998,44806000,92.197342
2016-03-01,97.650002,110.419998,97.419998,108.989998,35088000,107.196381
2016-02-01,96.470001,98.889999,92.589996,96.690002,42303900,95.098801
2016-01-04,102.610001,105.849998,92.389999,97.339996,70286300,95.221397
2015-12-01,118.75,119.860001,104.82,105.260002,43734700,102.969025
